Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,10,clubs,7,coins,4,spades,South,South,4
2,9,coins,5,coins,4,spades,South,North,3
3,5,spades,6,spades,4,spades,North,South,0
4,2,cups,8,clubs,4,spades,South,South,2
5,1,spades,1,clubs,4,spades,South,North,22
6,2,coins,3,coins,4,spades,North,South,10
7,2,spades,10,cups,4,spades,South,North,4
8,8,cups,8,coins,4,spades,North,North,4
9,5,clubs,9,spades,4,spades,North,South,3
10,6,cups,2,clubs,4,spades,South,South,0
11,3,spades,1,cups,4,spades,South,North,21
12,7,cups,6,coins,4,spades,North,North,0
13,3,clubs,10,spades,4,spades,North,South,14
14,4,clubs,1,coins,4,spades,South,South,11
15,6,clubs,4,clubs,4,spades,South,North,0
16,9,cups,7,spades,4,spades,North,South,3
17,7,clubs,10,coins,4,spades,South,South,4
18,8,spades,9,clubs,4,spades,South,North,5
19,5,cups,4,coins,4,spades,North,North,0
20,3,cups,4,spades,4,spades,North,South,10
