Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,6,clubs,4,spades,3,cups,North,North,0
2,7,clubs,6,cups,3,cups,North,South,0
3,6,coins,9,coins,3,cups,South,South,3
4,5,coins,10,coins,3,cups,North,South,4
5,2,coins,10,spades,3,cups,South,South,4
6,2,cups,1,cups,3,cups,North,South,11
7,4,coins,7,cups,3,cups,South,South,0
8,5,spades,3,clubs,3,cups,South,South,10
9,10,clubs,9,clubs,3,cups,South,North,7
10,3,coins,4,clubs,3,cups,North,North,10
11,6,spades,10,cups,3,cups,North,South,4
12,4,cups,8,clubs,3,cups,South,North,2
13,2,spades,7,coins,3,cups,North,North,0
14,8,spades,9,spades,3,cups,North,South,5
15,9,cups,1,clubs,3,cups,South,North,14
16,2,clubs,8,coins,3,cups,North,North,2
17,3,spades,8,cups,3,cups,North,South,12
18,5,clubs,5,cups,3,cups,South,South,0
19,3,cups,1,coins,3,cups,South,North,21
20,1,spades,7,spades,3,cups,North,North,11
