Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,3,clubs,8,clubs,8,coins,South,North,12
2,2,clubs,9,coins,8,coins,North,South,3
3,7,cups,6,spades,8,coins,South,South,0
4,10,clubs,6,clubs,8,coins,South,North,4
5,4,spades,4,cups,8,coins,North,North,0
6,10,cups,4,coins,8,coins,North,South,4
7,7,clubs,3,spades,8,coins,South,South,10
8,5,cups,6,cups,8,coins,South,South,0
9,8,coins,7,spades,8,coins,South,North,2
10,4,clubs,1,clubs,8,coins,North,South,11
11,2,coins,5,coins,8,coins,South,South,0
12,9,spades,2,spades,8,coins,South,North,3
13,9,clubs,10,coins,8,coins,North,South,7
14,10,spades,8,spades,8,coins,South,North,6
15,9,cups,5,clubs,8,coins,North,North,3
16,1,coins,5,spades,8,coins,North,North,11
17,8,cups,7,coins,8,coins,North,South,2
18,1,cups,2,cups,8,coins,South,North,11
19,6,coins,1,spades,8,coins,North,North,11
20,3,cups,3,coins,8,coins,North,South,20
